Search Query,Search Volume,Click-Through Rate,Conversion Rate,Average Click Position,Results Count,Click Count,Conversion Count,Category,Quartile (Volume),Quartile (CTR),Unnamed: 11
walking poles,9151,0.1938585947,0.0036061633,8.5799108821,340,1774,33,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
umbrella,5779,0.1939781969,0.0055372902,9.177396882,54,1121,32,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
power bank,2659,0.1940579165,0.0060172997,10.3866009905,31,516,16,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
kayak,49680,0.1943236715,0.0016304348,17.5815371247,1170,9654,81,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
inflatable kayak,2512,0.1946656051,0.0011942675,14.1719154738,105,489,3,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
camping stove,10012,0.1946664003,0.004194966,15.6752522661,111,1949,42,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
running gloves,5536,0.1949060694,0.0088511561,3.7053290083,44,1079,49,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
bike stand,5236,0.1957601222,0.0082123759,7.5658234611,343,1025,43,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
canoe,7718,0.1961648095,0.0016843742,18.8763162861,1187,1514,13,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
sea shoes,2959,0.1963501183,0.0043933761,20.9156626506,58,581,13,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
bucket hat,2590,0.1965250965,0.0030888031,15.8738048461,58,509,8,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
cool box,9829,0.197171635,0.0018313155,23.1345528855,145,1938,18,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
running jacket,9915,0.1975794251,0.0055471508,15.4798445514,190,1959,55,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
suitcase,9529,0.197607304,0.0034631126,19.9615696836,200,1883,33,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
kids trainers,6117,0.1979728625,0.0058852379,26.1409873776,404,1211,36,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
bike bag,8811,0.1986153672,0.0028373624,34.0887256236,309,1750,25,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
golf bag,6526,0.199049954,0.0024517315,14.003958173,228,1299,16,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
duffle bag,8666,0.1990537734,0.0038079852,23.1938487487,209,1725,33,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
bike pump,9035,0.1993359159,0.0059767571,19.5755598741,147,1801,54,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
waterproof pants,2598,0.1997690531,0.0092378753,10.8933526012,137,519,24,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
folding bike,9778,0.2003477194,0.0014317856,6.8698208942,133,1959,14,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
water bottle ,2461,0.20073141,0.0016253555,36.7681029497,393,494,4,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
bike chain,2933,0.2008867667,0.0040927694,24.7001980758,349,589,12,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
shelter,6593,0.2011224025,0.0016684362,21.2972572362,162,1326,11,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
football socks,9795,0.2012251149,0.0108218479,7.0313834328,108,1971,106,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
pickleball paddle,6095,0.2013125513,0.0068908942,15.636820675,304,1227,42,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
weights bench,2668,0.2016491754,0.0048725637,9.0866923349,43,538,13,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
base layers,7672,0.2017726799,0.0088633994,13.1664290329,374,1548,68,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
knee pads,8314,0.2020687996,0.0061342314,20.6192799363,138,1680,51,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
bladder,3780,0.2023809524,0.0105820106,11.902962963,89,765,40,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
ski suit,5540,0.2032490975,0.0028880866,17.1202046153,105,1126,16,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
kids helmet,6097,0.203706741,0.0047564376,25.7935690986,252,1242,29,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
carp,2619,0.2038946163,0.0015273005,115.6078161227,1472,534,4,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
mens walking boots,2461,0.2039821211,0.0085331166,25.3902390438,201,502,21,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
football shoes,3916,0.2040347293,0.0035750766,29.4666353776,623,799,14,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swimming cap,8895,0.2041596402,0.0111298482,17.611238069,462,1816,99,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
mouth guard,3720,0.2045698925,0.0112903226,13.5443057381,118,761,42,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
pop up tent,7805,0.2047405509,0.000896861,8.9395494368,70,1598,7,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
aqua shoes,6364,0.2052168448,0.003928347,20.1766079632,88,1306,25,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
table tennis bat,2431,0.2052653229,0.006993007,24.0556191749,244,499,17,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
air beds,3441,0.2057541412,0.0023249056,19.6578524348,153,708,8,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
basketball hoop,9850,0.2059898477,0.0034517766,15.9992208219,128,2029,34,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
bike bags,3792,0.2062236287,0.00342827,43.7406406041,298,782,13,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
air tent,9263,0.2073842168,0.001403433,10.0072271386,152,1921,13,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
windbreaker,7353,0.2073983408,0.0051679587,16.6449352069,207,1525,38,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
ski gloves,25596,0.2076496328,0.017385529,11.3417462557,152,5315,445,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
polo shirt,2741,0.2079533017,0.0091207588,22.5937928154,592,570,25,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
headband,6731,0.2087357005,0.0087654138,20.5564988985,224,1405,59,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
men's shorts,4861,0.2088047727,0.0026743468,21.5255031668,902,1015,13,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
padded shorts,2356,0.2092529711,0.0042444822,14.9326572008,73,493,10,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
chalk,4606,0.2092922275,0.0132435953,5.6980117566,126,964,61,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
running bag,6060,0.2094059406,0.0028052805,8.8361195542,205,1269,17,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
paddle boards,6518,0.2094200675,0.0006136852,15.7353113553,224,1365,4,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
thermal gloves,2997,0.2095428762,0.008675342,15.0183822414,114,628,26,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
neoprene,4215,0.2097271649,0.0049822064,59.7006410256,496,884,21,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
basketball net,2498,0.2097678143,0.0024019215,15.6708424209,520,524,6,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
dry bags,4003,0.209842618,0.0052460655,20.7998441043,111,840,21,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
gym mat,3167,0.2099778971,0.0072623934,16.6009273183,139,665,23,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
climbing shoes,16049,0.2099819303,0.0046108792,5.8410808059,30,3370,74,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
cooler,5584,0.210243553,0.0030444126,18.3142958546,147,1174,17,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
saddle,4508,0.2102928128,0.0042147294,20.0055203938,295,948,19,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
kip run,2610,0.2111920276,0.0030663089,40.5762768991,368,551,8,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
tennis bag,5200,0.2115384615,0.0046153846,22.7460681818,153,1100,24,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
womens walking boots,2608,0.2124233129,0.0099693252,31.3585818213,178,554,26,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
life vest,6699,0.2133154202,0.0052246604,15.3780923299,155,1429,35,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
merino wool,6328,0.213653603,0.0124841972,16.1363132327,86,1352,79,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
rugby ball,3581,0.2136871508,0.0083798883,15.2689106754,481,765,30,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
base layer,26894,0.2138395181,0.0082174463,11.7171399516,523,5751,221,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
dumbbell set,3651,0.2139139962,0.0095864147,10.56184379,43,781,35,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swim bag,7679,0.2139601511,0.0053392369,18.3816338105,184,1643,41,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
pull up,5901,0.2140315201,0.0093204542,8.8481204992,33,1263,55,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
hiking shorts,4282,0.214385801,0.0056048575,13.510620915,187,918,24,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
basketball shoes,3015,0.2145936982,0.0019900498,20.0640023552,147,647,6,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
inflatable bed,3028,0.214663144,0.0049537649,26.1174615385,164,650,15,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
beach towel,3875,0.2147096774,0.0051612903,14.7488882212,231,832,20,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
waterproof bag,9977,0.2150947179,0.0053122181,35.0404074025,250,2146,53,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
columbia,2429,0.2153149444,0.0086455331,9.7760038241,62,523,21,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
beach tent,7572,0.2155309033,0.0015847861,19.5779995331,162,1632,12,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
mens boots,2430,0.2156378601,0.0098765432,47.9693429662,1350,524,24,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
roof tent,11620,0.2158347676,0.0007745267,7.2982513101,34,2508,9,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
cross trainer,6253,0.216056293,0.0047976971,8.5344774006,95,1351,30,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
folding chair,2767,0.2168413444,0.0075894471,16.21775,66,600,21,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
sports bra,19205,0.2169747462,0.0069252799,21.0859975098,277,4167,133,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
towel,37996,0.2173913043,0.0062901358,13.5227368955,330,8260,239,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
rowing machine,4147,0.2175066313,0.0040993489,6.1918144863,35,902,17,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
thermal leggings,2740,0.2175182482,0.0145985401,7.9785095078,158,596,40,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
blackout tent,2846,0.2178496135,0.0024595924,8.279516129,265,620,7,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
whistle,3182,0.2181018228,0.0204274041,7.6697886647,61,694,65,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
grip socks,6073,0.2185081508,0.0079038367,13.9812191242,95,1327,48,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
life jacket,25645,0.218561123,0.00354845,13.4654305255,166,5605,91,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
massage,3908,0.2187819857,0.0179119754,19.9666861598,157,855,70,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swim cap,7423,0.2189141856,0.0154923885,20.4969905739,454,1625,115,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
riding hat,2541,0.2192050374,0.0070838253,8.9918013166,47,557,18,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
bib shorts,6002,0.2195934688,0.0058313895,4.0190945878,27,1318,35,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
water bottle,22830,0.2197109067,0.0113009198,27.9848957147,380,5016,258,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
waterproof gloves,7084,0.2203557312,0.006916996,12.4879218653,56,1561,49,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
mens fleece,3024,0.2205687831,0.0115740741,32.6455986293,1006,667,35,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
hiking trousers,12209,0.2206568925,0.0085183062,16.9250624551,396,2694,104,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
swimming float,3110,0.2209003215,0.0118971061,40.6536632703,495,687,37,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
boxing gloves,13443,0.2213791564,0.0044632894,19.6249281185,133,2976,60,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
shuttlecock,2759,0.2214570497,0.0188474085,9.2538500507,132,611,52,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
pool cue,3236,0.2224969098,0.0052533993,26.4341859992,178,720,17,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swimming costume,9185,0.2225367447,0.0084921067,36.8060454046,1147,2044,78,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
camp bed,15551,0.2226866439,0.0039868819,9.9229484941,111,3463,62,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
surfboard,3379,0.2231429417,0.0023675644,17.8676129426,124,754,8,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swim float,3981,0.2233107259,0.0095453404,41.9209973753,492,889,38,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
camping chair,25831,0.2238008594,0.0056908366,13.0152892443,71,5781,147,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
ankle weights,4341,0.2241419028,0.0092144667,6.8611278324,26,973,40,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
compass,3328,0.2244591346,0.0114182692,5.3417670683,36,747,38,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
visor,2402,0.2248126561,0.0108243131,8.5926432981,95,540,26,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
running vest,41038,0.2248647595,0.0036551489,4.418199281,102,9228,150,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
pannier,12147,0.2251584753,0.0049394912,15.4772941876,154,2735,60,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
ski socks,27739,0.225963445,0.0326255453,6.1665112355,61,6268,905,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
elops,9173,0.2262073477,0.0032704677,21.160670109,228,2075,30,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
snooker cue,2708,0.226366322,0.0007385524,37.9601705119,213,613,2,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
wetsuit boots,4056,0.2265779093,0.0032051282,14.2281294603,79,919,13,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
running belt,11539,0.2271427333,0.0078862986,4.951629997,110,2621,91,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
cycling gloves,11029,0.2276724998,0.0062562336,12.5943319237,142,2511,69,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
women's ski,2446,0.2277187244,0.0106295993,46.3177566897,1480,557,26,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
bar,4182,0.2278813965,0.006456241,10.7715576542,1090,953,27,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
dartboard,6603,0.2283810389,0.0043919431,8.6672034862,37,1508,29,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
camping tent,2612,0.22856049,0.0042113323,21.2410425142,225,597,11,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
running machine,3711,0.2287793048,0.0059283212,14.2966206742,143,849,22,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
dress,2506,0.2290502793,0.0031923384,30.6580139373,258,574,8,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
cricket set,2831,0.2299540798,0.0035323207,12.5110087046,99,651,10,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
bike basket,4211,0.230586559,0.0090239848,5.9668321809,280,971,38,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
swim hat,4310,0.2308584687,0.0088167053,22.3006676238,258,995,38,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
bike cover,2953,0.2309515747,0.0108364375,5.2113391984,95,682,32,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
poncho,26799,0.2311280272,0.0060076869,10.2130464197,131,6194,161,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
hydration vest,5976,0.2314257028,0.0035140562,8.500120511,62,1383,21,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
arsenal,7303,0.2319594687,0.0072572915,30.3359897678,96,1694,53,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
dumbell set,3282,0.2321755027,0.0091407678,11.3462817148,44,762,30,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
quechua tent,6904,0.232184241,0.0021726535,16.9419570448,456,1603,15,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
running cap,7373,0.2327410823,0.0061033501,5.8816402663,367,1716,45,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
kalenji beanie,3453,0.2328410078,0.0014480162,6.7234660033,323,804,5,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
trousers,12631,0.2334732009,0.0064127939,23.3970316814,1598,2949,81,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
swim shoes,10629,0.2337943362,0.0043277825,13.7445731532,65,2485,46,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
knee support,3890,0.233933162,0.0071979434,9.7667225632,54,910,28,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
cycling shorts,18040,0.2339800443,0.0068736142,14.7978772595,149,4221,124,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
cricket bat,8364,0.2340985175,0.0020325203,14.3740399582,215,1958,17,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
bikini,14673,0.2341716077,0.0046343624,53.9321011231,412,3436,68,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
kids ski,5332,0.2349962491,0.0202550638,46.1488950528,666,1253,108,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
car tent,2673,0.2353161242,0.000748223,9.6807763646,28,629,2,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
tri suit,7158,0.2356803576,0.0029337804,18.2207680583,83,1687,21,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
mens shorts,9270,0.2357065804,0.0030204962,26.4901999564,910,2185,28,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
resistance bands,5780,0.2358131488,0.0079584775,17.4084704608,113,1363,46,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
resistance band,4798,0.2359316382,0.0089620675,16.0626072691,113,1132,43,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
dry robe,17089,0.2361168003,0.0022821698,19.4110778702,102,4035,39,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
salomon,12411,0.2362420433,0.0073322053,16.1346707919,123,2932,91,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
dry bag,21878,0.2363561569,0.0060334583,21.0701418626,187,5171,132,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
weight bench,6858,0.2370953631,0.0052493438,11.9609151167,65,1626,36,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
kids walking boots,6700,0.2373134328,0.0107462687,16.4598480084,66,1590,72,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
changing robe,8414,0.2373425244,0.0019015926,25.0837983165,107,1997,16,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
adjustable dumbbells,4319,0.2377865247,0.0083352628,11.1741016368,35,1027,36,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
boys football boots,2593,0.2379483224,0.0065561126,19.872906537,206,617,17,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
spin bike,2705,0.238077634,0.004805915,24.2624408459,126,644,13,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
badminton set,3776,0.2380826271,0.0068855932,8.7306928333,101,899,26,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
snood,14268,0.2380852257,0.0208158116,9.9853292588,213,3397,297,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
swim socks,3804,0.238170347,0.0060462671,23.5378652896,87,906,23,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
tent poles,3731,0.2382739212,0.0040203699,19.7222427554,147,889,15,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
waterproof socks,5716,0.2386284115,0.010846746,4.5393779384,18,1364,62,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
cycling jacket,5768,0.2389042996,0.0074549237,18.9947119704,171,1378,43,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
3 man tent,3829,0.2397492818,0.0028728127,7.7749636892,75,918,11,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
kids scooter,2617,0.2399694306,0.0061138708,14.5265430695,320,628,16,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
balance bike,7206,0.240077713,0.0029142381,9.3428316818,44,1730,21,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
beach shelter,3768,0.2401804671,0.0029193206,24.1457642726,159,905,11,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
womens shorts,4303,0.2402974669,0.0044155241,42.4650548034,525,1034,19,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
band,3673,0.2404029404,0.0149741356,14.4030577576,315,883,55,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
tarp,12165,0.2407727086,0.0041923551,7.9836074987,47,2929,51,High Performing,Q4 (Top 25% Volume),Q3 (50-75% CTR),
inflatable tent,5427,0.2408328727,0.0020269025,7.2701114876,58,1307,11,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
fresh and black,4969,0.2410947877,0.0034212115,9.3079239208,284,1198,17,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
adult scooter,2455,0.2411405295,0.0040733198,12.9014731421,313,592,10,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
sup pump,3144,0.2417302799,0.0041348601,8.182127193,32,760,13,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
foam roller,6415,0.241777085,0.0090413094,8.3566086396,47,1551,58,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
rugby shorts,2481,0.2418379686,0.0153164047,9.4507222222,91,600,38,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
cycling jersey,4884,0.242014742,0.0085995086,19.1808024932,277,1182,42,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
2 man tent,5089,0.2424837886,0.0031440362,9.0663290113,89,1234,16,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
swimming bag,6780,0.2427728614,0.0056047198,16.6990481977,199,1646,38,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
kids wetsuit,3694,0.2428262047,0.0064970222,13.1304719435,82,897,24,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
camp chair,3153,0.2432603869,0.0053916905,13.0411994785,72,767,17,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
yonex badminton racket,3362,0.243307555,0.009220702,12.9437007607,80,818,31,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
ground sheet,4221,0.2435441838,0.0030798389,9.0305169539,95,1028,13,Low Volume, High CTR,Q2 (25-50% Volume),Q3 (50-75% CTR)
mens waterproof jacket,2733,0.2436882547,0.0054884742,43.0884110301,424,666,15,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
balaclava,6611,0.2438360309,0.022689457,8.3308642299,65,1612,150,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
cones,4492,0.2444345503,0.0138023152,5.8889647845,44,1098,62,High Performing,Q3 (50-75% Volume),Q3 (50-75% CTR),
arena,2621,0.2445631438,0.0068676078,55.6456274918,367,641,18,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q3 (50-75% CTR)
winter boots,2391,0.2446675031,0.0096194061,18.2556410256,125,585,23,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q4 (Top 25% CTR)
sleep mat,3763,0.2450172735,0.0146159979,21.9119305857,139,922,55,Low Volume, High CTR,Q2 (25-50% Volume),Q4 (Top 25% CTR)
air bed,25742,0.245318934,0.0040789371,17.2168776157,186,6315,105,High Performing,Q4 (Top 25% Volume),Q4 (Top 25% CTR),
kids football boots,5190,0.2456647399,0.0053949904,24.0899648587,176,1275,28,High Performing,Q3 (50-75% Volume),Q4 (Top 25% CTR),
football goals,6377,0.2458836443,0.0023522032,10.652860904,103,1568,15,High Performing,Q3 (50-75% Volume),Q4 (Top 25% CTR),
duffel bag,7061,0.2469905113,0.009630364,8.5915296891,48,1744,68,High Performing,Q3 (50-75% Volume),Q4 (Top 25% CTR),
compression socks,2889,0.2474904811,0.0100380755,8.1016083916,37,715,29,Low Volume, High CTR,Q1 (Bottom 25% Volume),Q4 (Top 25% CTR)
ice skates,15725,0.2477583466,0.0052146264,12.3860882957,85,3896,82,High Performing,Q4 (Top 25% Volume),Q4 (Top 25% CTR),
cycle shorts,4091,0.2481055977,0.0078220484,14.997816092,165,1015,32,Low Volume, High CTR,Q2 (25-50% Volume),Q4 (Top 25% CTR)
